user_id,orders_per_month,avg_order_value,last_order_days,customer_rating,discount_used_before,ordered_without_discount,recommended_discount
0,20,483,48,5.0,0,1,34
1,16,274,20,4.4,1,1,28
2,6,737,49,3.0,0,1,50
3,3,851,26,4.9,1,1,50
4,4,353,33,2.8,0,0,50
5,2,235,54,2.7,1,0,50
6,14,793,16,4.4,1,1,30
7,4,826,22,3.3,1,1,50
8,20,536,56,4.2,1,1,38
9,8,215,7,4.6,0,1,37
10,13,559,45,4.5,1,1,46
11,11,534,20,3.6,1,0,38
12,15,673,17,4.6,1,1,28
13,2,453,17,4.2,0,0,50
14,11,165,55,4.8,1,0,50
15,3,235,33,3.1,0,0,50
16,1,791,30,2.5,1,1,50
17,15,788,8,4.2,1,1,24
18,2,119,37,2.6,0,1,50
19,3,805,33,3.1,1,0,50
20,15,997,8,4.2,0,1,24
21,20,494,31,3.6,1,1,25
22,18,244,3,3.8,1,0,15
23,12,131,15,2.6,0,1,33
24,13,853,10,3.2,1,0,29
25,2,114,26,4.9,0,0,50
26,18,285,41,4.8,0,1,34
27,8,274,55,3.9,1,0,50
28,16,679,25,3.9,1,0,30
29,9,332,40,3.9,0,1,50
30,6,382,46,4.5,1,0,50
31,16,443,34,4.5,1,0,35
32,9,638,54,5.0,1,1,50
33,16,326,35,4.0,1,1,35
34,3,805,6,3.5,1,0,47
35,8,627,24,3.2,1,1,46
36,20,342,11,3.8,1,0,15
37,15,830,23,3.3,0,0,31
38,14,726,52,3.3,0,0,48
39,4,834,31,2.6,0,0,50
40,15,341,2,3.4,0,1,21
41,2,188,30,2.5,0,1,50
42,3,966,28,4.1,0,1,50
43,6,822,29,3.1,0,0,50
44,6,215,15,2.9,1,0,45
45,1,789,38,3.9,1,1,50
46,16,986,54,3.4,1,1,45
47,10,850,36,4.4,0,0,48
48,5,930,40,2.6,1,0,50
49,5,280,60,4.3,0,0,50
50,7,556,49,2.6,0,0,50
51,19,501,3,3.4,0,1,13
52,9,686,27,3.8,0,1,45
53,18,600,55,3.4,1,1,41
54,8,904,4,4.5,0,0,36
55,15,228,21,3.3,1,0,30
56,12,716,48,4.4,0,0,50
57,14,336,29,5.0,1,1,36
58,2,905,56,3.6,1,0,50
59,11,603,33,3.4,0,1,44
60,11,265,1,5.0,0,1,28
61,2,153,11,4.4,0,0,50
62,9,324,7,4.7,0,1,35
63,5,571,27,2.7,0,1,50
64,12,372,54,4.9,1,0,50
65,14,519,6,4.5,0,1,25
66,19,444,55,4.1,0,0,39
67,1,140,30,2.7,1,0,50
68,6,287,21,3.2,1,1,48
69,12,130,40,4.3,0,0,46
70,12,682,52,2.6,1,1,50
71,14,783,29,3.1,0,1,36
72,6,370,8,3.6,1,1,42
73,4,421,55,4.4,0,0,50
74,10,692,14,3.4,1,0,37
75,9,257,37,3.1,1,0,50
76,17,890,59,2.5,0,1,45
77,10,720,8,3.6,1,0,34
78,19,655,39,2.9,0,1,31
79,9,309,34,3.7,1,1,49
80,12,258,30,3.8,1,1,41
81,7,129,59,4.9,1,0,50
82,10,316,45,3.5,0,1,50
83,20,567,57,4.7,0,1,38
84,11,358,56,2.7,1,1,50
85,17,374,45,3.9,1,1,38
86,2,226,51,2.5,0,0,50
87,19,252,16,2.6,1,0,20
88,1,427,4,4.5,1,1,50
89,16,933,50,4.5,0,0,43
90,9,951,30,2.8,0,1,47
91,2,371,4,4.5,0,0,48
92,1,707,52,3.8,0,0,50
93,8,250,52,3.1,1,0,50
94,1,794,23,4.7,1,0,50
95,13,379,23,3.9,1,0,35
96,1,501,2,3.1,1,0,49
97,3,743,51,4.0,1,0,50
98,11,192,41,3.7,1,0,48
99,2,770,56,3.3,0,1,50
100,12,146,38,3.5,0,0,45
101,18,391,6,4.2,0,1,17
102,4,899,4,3.2,1,0,44
103,2,247,14,3.5,1,0,50
104,1,220,6,5.0,0,0,50
105,10,983,7,2.9,1,1,33
106,14,898,9,4.1,0,0,26
107,13,607,55,4.4,1,0,50
108,13,501,44,5.0,0,0,46
109,10,473,59,4.6,0,0,50
110,11,543,36,3.2,0,1,46
111,15,958,53,2.9,1,0,46
112,8,569,54,4.6,1,1,50
113,6,259,49,3.4,1,1,50
114,5,408,13,3.9,1,0,46
115,17,976,56,4.0,1,0,44
116,19,532,19,3.3,0,1,21
117,16,259,44,5.0,0,0,40
118,20,505,35,3.5,1,0,27
119,20,589,20,3.2,1,1,20
120,13,410,26,5.0,0,0,37
121,19,691,22,3.3,0,0,23
122,4,148,14,5.0,1,1,49
123,3,707,34,3.5,0,0,50
124,13,133,16,4.2,1,1,32
125,20,468,7,3.6,1,1,13
126,3,644,2,3.5,0,0,45
127,13,986,31,4.6,0,1,39
128,7,825,28,4.4,0,1,50
129,1,162,25,3.7,0,1,50
130,14,476,29,4.9,0,0,36
131,9,120,58,4.6,0,0,50
132,12,884,35,4.4,0,1,43
133,16,925,53,3.5,1,1,44
134,20,930,7,3.7,0,1,13
135,15,362,6,4.9,0,1,23
136,7,447,41,2.8,1,1,50
137,17,450,51,4.3,0,0,41
138,10,392,5,3.4,1,0,32
139,19,103,41,2.6,1,0,32
140,13,407,22,4.9,0,1,35
141,13,526,25,4.6,1,1,36
142,15,569,20,3.9,1,1,30
143,2,155,11,4.2,0,1,50
144,6,942,14,3.6,0,1,45
145,2,455,14,2.7,0,0,50
146,19,731,8,3.4,0,0,16
147,7,369,28,3.7,1,0,50
148,12,103,58,4.8,0,1,50
149,3,264,44,2.7,1,1,50
150,17,872,17,4.1,0,1,24
151,20,961,28,5.0,1,0,24
152,9,385,16,4.8,0,1,40
153,19,775,27,4.0,1,1,25
154,1,272,32,3.1,1,1,50
155,16,277,40,3.6,0,1,38
156,5,950,3,4.3,1,1,41
157,17,596,4,4.9,1,1,18
158,13,965,18,3.3,1,1,33
159,8,212,30,4.4,1,1,49
160,18,779,17,4.7,0,0,22
161,9,641,6,4.8,0,1,35
162,2,311,59,3.7,1,0,50
163,4,842,14,3.2,1,1,49
164,1,364,47,4.3,0,0,50
165,5,964,59,2.7,0,0,50
166,12,601,29,2.7,1,0,40
167,1,858,48,3.1,0,0,50
168,6,210,15,4.3,0,0,45
169,17,855,33,5.0,1,1,32
170,16,878,34,3.8,1,1,35
171,19,857,23,2.6,1,0,23
172,10,175,39,3.6,0,1,49
173,16,840,56,3.4,1,1,46
174,3,121,43,3.4,0,0,50
175,6,887,9,3.1,0,1,42
176,9,692,9,3.3,0,1,36
177,17,304,38,3.1,0,0,35
178,17,630,53,3.8,1,1,42
179,8,577,32,3.2,0,0,50
180,1,165,9,4.6,1,1,50
181,16,348,8,2.7,1,0,22
182,17,573,15,3.2,1,0,23
183,20,938,45,4.5,1,0,32
184,12,653,59,4.1,0,0,50
185,14,497,36,2.7,1,0,40
186,11,439,28,2.6,0,1,42
187,1,429,1,2.5,1,0,48
188,9,168,16,4.0,1,0,40
189,19,339,20,3.7,0,0,22
190,5,595,35,4.6,1,1,50
191,18,566,50,3.0,0,0,39
192,9,950,42,5.0,1,0,50
